Title,Pub Year
ZK-90695 - A NEW ANTIARTHRITIC DRUG WITH TISSUE TARGETING PROPERTIES,1991
TOMORROWS ASTHMA THERAPY - ARE ANTIASTHMATICS IN THE 90S ANTIINFLAMMATORY DRUGS,1991
NEW TRENDS IN PAF ANTAGONIST RESEARCH - A NEW SERIES OF POTENT HETRAPAZINE-DERIVED PAF ANTAGONISTS,1991
INFLUENCE OF NO-DONOR (SIN-1) ON FUNCTIONS OF INFLAMMATORY CELLS,1991
ADHERENCE-INDUCED ENHANCEMENT OF THE OXIDATIVE BURST OF HUMAN NEUTROPHILIC GRANULOCYTES - EFFECTS OF THE SURFACE-COAT AND OF DIVALENT-CATIONS,1991
TOXICOLOGICAL PROPERTIES OF CARRAGEENAN,1991
"EFFECT OF FOOD ON PHARMACOKINETICS OF MELOXICAM, A NEW NON STEROIDAL ANTIINFLAMMATORY DRUG (NSAID)",1991
"GCP-28238, A NEW POTENT NONSTEROIDAL ANTIINFLAMMATORY AGENT - ITS RELATION TO ARACHIDONIC-ACID METABOLISM",1991
THE EFFECT OF AZELASTINE ON AN ACUTE NONSPECIFIC INFLAMMATION IN COMPARISON TO THE EFFECT OF DEXAMETHASONE,1991
EM-405 - A NEW SUBSTANCE WITH AN UNCOMMON PROFILE OF ANTIINFLAMMATORY ACTIVITY,1991
ANALGESIC AND ANTITUSSIVE PROPERTIES OF EM-405,1991
ANALGESIC AND ANTIINFLAMMATORY ACTIVITY OF DL-2-(ALKOXYPHENYL)GLYCINE OCTYL ESTERS,1991
INHIBITION OF INTERLEUKIN-1 (IL-1) ENHANCED PAIN REFLEXES IN THE RABBIT BY CGP-28238,1991
PHOSPHOLIPASE-A2 INHIBITION BY ALKYLBENZOYLACRYLIC ACIDS,1991
LEUKOTRIENE-B4 STIMULATION OF MACROPHAGE CYCLOOXYGENASE METABOLITE SYNTHESIS,1991
THE EFFECT OF LEUKOTRIENE-B5 ON THE ACCUMULATION OF POLYMORPHONUCLEAR LEUKOCYTES (PMN) IN NORMAL SKIN AND LTB4-STIMULATED HUMAN SKIN,1991
MAMMALIAN LIPOXYGENASES - ARE THEY ONLY INVOLVED IN THE ARACHIDONIC-ACID CASCADE,1991
INFLUENCE OF CYCLOOXYGENASE-(COX-) AND LIPOXYGENASE-(LOX-) INHIBITION ON THE DEGRANULATION OF ACTIVATED PERITONEAL RAT MAST-CELLS (PRMC) INVITRO,1991
INFLUENCE OF THE INTRACELLULAR FREE CALCIUM LEVEL AND CALMODULIN ANTAGONISTS ON PROSTAGLANDIN AND LEUKOTRIENE SYNTHESIS IN MURINE MACROPHAGES,1991
INHIBITION OF LEUKOTRIENE-B4 IN NEUTROPHILS BY LIPOXIN-A4 AND LIPOXIN-B4,1991
ACUTE ADMINISTRATION OF CARNITINE TO RATS MODIFIED THE BASAL AND A23187-STIMULATED RELEASE OF EICOSANOIDS FROM 4 DAY CARRAGEENAN-ELICITED PERITONEAL-MACROPHAGES,1991
DIBUTYRYL CYTIDINE 3'-5'-CYCLIC MONOPHOSPHATE - AN INHIBITOR OF A23187-STIMULATED MACROPHAGE LEUKOTRIENE-B4 SYNTHESIS,1991
INFLUENCE OF SOME PROSTAGLANDIN-ANALOGS ON MOUSE SKIN ALLOGRAFT SURVIVAL COMPARED TO DEXAMETHASONE - POSSIBLE ROLE OF THROMBOXANE,1991
ROLE OF PMN IN EARLY CARTILAGE DESTRUCTION,1991
DOES ALLOPURINOL PREVENT SUPEROXIDE RADICAL PRODUCTION BY XANTHINE-OXIDASE (XOD),1991
CATECHOLAMINERGIC MODULATION OF RAT ACUTE PHASE REACTANTS,1991
INHIBITION OF NEUTROPHIL MIGRATION BY GUANINE-NUCLEOTIDES,1991
AUTOREACTIVE T-HELPER CELLS IN EXPERIMENTAL ARTHRITIS,1991
MECHANISMS CONTROLLING THE LEVEL OF RECEPTORS FOR TUMOR-NECROSIS-FACTOR,1991
