Title,Pub Year
PRESENT STATUS OF RESIDENCY TRAINING IN MAMMOGRAPHY,1991
ENDOLUMINAL SONOGRAPHY OF THE URINARY-TRACT - PRELIMINARY-OBSERVATIONS,1991
RENAL-TRANSPLANT REJECTION - DIAGNOSIS WITH P-31 MR SPECTROSCOPY,1991
MR IMAGING OF THE LATERAL COLLATERAL LIGAMENT OF THE ANKLE,1991
MEDIASTINAL PSEUDOMASS CAUSED BY COMPRESSION OF THE THYMUS IN NEONATES WITH ANTERIOR PNEUMOTHORAX,1991
LYSINE METABOLISM IN MAN,1991
INBORN-ERRORS OF LYSINE METABOLISM,1991
LYSINE IN HUMAN-NUTRITION,1991
HYPERLYSINEMIA AND HYPERAMMONEMIA,1991
DIAGNOSTIC FLOW-CHART FOR THE VARIATIONS OF LYSINEMIA AND LYSINURIA,1991
"LYSINE IN HUMAN BIOLOGIC FLUIDS AND TISSUES - REFERENCE VALUES, PHYSIOLOGICAL VARIATIONS AND INTERFERENCES",1991
DIFFERENCES IN THE MULTIPLE-SCATTERING OF POSITRONS AND ELECTRONS,1991
NOTES ON ELECTRON PENETRATION,1991
COMPARISON OF MONTE-CARLO AND ANALYTICAL CALCULATIONS OF AVERAGE DOSE DEPOSITED IN ALUMINUM FOILS BY BROAD BEAMS OF ELECTRONS,1991
THE ROLE OF MONTE-CARLO SIMULATION OF ELECTRON-TRANSPORT IN RADIATION-DOSIMETRY,1991
DISSIPATIVE POLARIZATION BY SLOW-ELECTRONS,1991
SUBEXCITATION ELECTRONS - AN APPRAISAL OF OUR UNDERSTANDING,1991
TIME-DEPENDENT ELECTRON-DISTRIBUTION FUNCTIONS AND DEGRADATION SPECTRA - A COMPARISON OF THE SPENCER-FANO EQUATION AND THE BOLTZMANN-EQUATION,1991
RADIATION-DAMAGE TO A BIOMOLECULE - NEW PHYSICAL MODEL SUCCESSFULLY TRACES MOLECULAR EVENTS,1991
BIOPHYSICS IN STRANGE ANIMALS,1991
THE IMPACT OF SUSUMU HAGIWARA ON COMPARATIVE PHYSIOLOGY AND NEUROETHOLOGY,1991
RECOLLECTIONS OF HAGI-SAN,1991
BISTABILITY OF THE NERVE MEMBRANE - MECHANICAL AND THERMAL-CHANGES IN NERVE-FIBERS DURING EXCITATION,1991
OPTICAL-ACTIVITY SIGNAL OF NERVE - HOW IS IT PRODUCED,1991
DISTINCT EFFECTS OF INTRACELLULAR DIVALENT-CATIONS ON SODIUM AND POTASSIUM CHANNELS IN SQUID GIANT-AXONS,1991
MOLECULAR STUDIES OF 2 VOLTAGE-DEPENDENT SODIUM-CHANNELS EXPRESSED IN THE NERVOUS-SYSTEM,1991
CELLULAR-REGULATION OF AMILORIDE-BLOCKABLE SODIUM-CHANNELS,1991
ROLE OF G-PROTEINS IN K(ATP) CHANNEL MODULATION BY THE NEUROPEPTIDE SOMATOSTATIN,1991
SINGLE-CHANNEL STUDIES ON CA2+-ACTIVATED K+ CHANNELS IN HAMSTER OOCYTES,1991
UNIQUENESS AND INTERCONVERTIBILITY OF MEMBRANE POTASSIUM CHANNELS,1991
CALCIUM CHANNELS - BASIC MECHANISMS OF PERMEATION AND GATING,1991
CONTROL OF NEURONAL CALCIUM CURRENT BY INTRACELLULAR CALCIUM,1991
CALCIUM CURRENTS IN VARICOSITIES OF MOTONEURON NEURITES ENDING ON MUSCLE-CELLS INVITRO,1991
SINGLE-CHANNEL BEHAVIOR UNDERLYING DECAYING AND NON-DECAYING COMPONENTS OF CALCIUM-CHANNEL CULLENT IN CEREBELLAR NEURONS,1991
L-TYPE CA-CHANNEL ACTIVITY RECORDED AT A LOW DIVALENT-CATION CONCENTRATION,1991
PHARMACOLOGICAL PROPERTIES OF 2 TYPES OF CA-CHANNELS IN NEUROBLASTOMA-CELLS,1991
INHIBITORY-ACTION OF NMDA-TYPE RECEPTORS ON N-TYPE CA-CHANNELS IN HIPPOCAMPAL-NEURONS,1991
GABA AND GLYCINE RECEPTORS IN XENOPUS OOCYTES INJECTED WITH MOUSE-BRAIN MESSENGER-RNA,1991
FUNCTIONAL DIFFERENCES BETWEEN ACH RECEPTOR CHANNELS CONTAINING GAMMA-SUBUNITS AND EPSILON-SUBUNITS,1991
MEMBRANE-SIGNAL TRANSDUCTION IN A RAT CALCITONIN-SECRETING CELL-LINE,1991
ACTIVATION OF RECEPTOR-OPERATED CA2+ PERMEABLE CHANNELS BY ABSCISIC-ACID IN GUARD-CELLS,1991
MEMBRANE-RECEPTOR AND SIGNAL TRANSDUCTION ON THE REGULATION OF GAP JUNCTION PERMEABILITY IN RAT SUBMANDIBULAR-GLAND,1991
PACEMAKER MECHANISM IN THE ISOLATED RABBIT SINOATRIAL NODE CELLS - PRESENCE AND ROLE OF A BACKGROUND CURRENT,1991
BIOELECTRIC CONTROL OF TENTACULAR MOVEMENT IN A DINOFLAGELLATE NOCTILUCA-MILIARIS,1991
ION CHANNELS AND BEHAVIOR IN COELENTERATES,1991
HYPERPOLARIZING RESPONSES IN THE CENTRAL-NERVOUS-SYSTEM OF A CRAYFISH,1991
PH REGULATION IN THE CENTRAL-NERVOUS-SYSTEM OF THE LEECH,1991
ESTIMATING VOLTAGE-CLAMP CONTROL OF SYNAPTIC CURRENTS RECORDED IN CORTICAL SLICES,1991
POTENTIATION AND DEPRESSION OF THE SYNAPTIC TRANSMISSION BETWEEN CEREBELLAR GRANULE AND PURKINJE NEURONS IN CULTURE,1991
MOLECULAR EVENTS UNDERLYING LONG-TERM DESENSITIZATION OF GLUTAMATE RECEPTORS IN CEREBELLAR PURKINJE-CELLS,1991
DEVELOPMENT OF CALCIUM SIGNALING SYSTEMS IN POSTNATAL RAT PURKINJE-CELL,1991
SOME EFFECTS OF CLIMBING FIBER REMOVAL ON THE PURKINJE NEURON,1991
ROLE OF ARACHIDONIC-ACID METABOLISM IN PEPTIDE RESPONSES IN BRAIN NEURONS,1991
G-PROTEIN-MEDIATED EFFECTS OF SUBSTANCE-P AND SOMATOSTATIN ON CULTURED BRAIN NEURONS,1991
CAFFEINE-INDUCED RELEASE OF INTRACELLULAR CALCIUM-IONS IN CULTURED EMBRYONIC MOUSE CORTICAL-NEURONS,1991
ELECTROPHYSIOLOGICAL CHARACTERIZATION OF A HYPOTHALAMIC NEURONAL CELL-LINE,1991
NEW BRAIN GLUCOSENSOR AND NEUROBIOLOGICAL FUNCTION,1991
OPTICAL MONITORING OF CHOLINERGIC POSTSYNAPTIC POTENTIAL IN THE EMBRYONIC CHICK CILIARY GANGLION USING A VOLTAGE-SENSITIVE DYE,1991
NEURAL CONNECTIONS IN RAT HIPPOCAMPUS STUDIED WITH OPTICAL MEASUREMENTS - AN EVALUATION OF LAMELLAR HYPOTHESIS,1991
