Title,Pub Year
SIMULATION OF SELECTIVE PASSIVE COMPENSATION,1991
"OPENING SWITCHES FOR A 5 MJ, 1 MA ENERGY-STORAGE TRANSFORMER",1991
LIGHTWEIGHT HIGH-EFFICIENCY ENERGY-STORAGE TRANSFORMERS,1991
MINIMIZING THE MASS OF A POTENTIAL RAILGUN POWER-SUPPLY,1991
FINAL COMMISSIONING OF THE BALCONES 60 MJ PULSED POWER-SUPPLY,1991
LIQUID-METAL SWITCHES FOR ELECTROMAGNETIC RAILGUN SYSTEMS,1991
RECENT ADVANCES IN LARGE RAILGUN STRUCTURES AND MATERIALS TECHNOLOGY,1991
HYPERVELOCITY PROJECTILE DEVELOPMENT FOR ELECTROMAGNETIC GUNS,1991
THE ORIGIN AND FUTURE OF COMPOSITE ALUMINUM CONDUCTORS,1991
STRUCTURAL DESIGN ISSUES FOR ELECTROMAGNETIC PROJECTILES,1991
"DESIGN AND FABRICATION OF AN ADVANCED, LIGHTWEIGHT, HIGH STIFFNESS, RAILGUN BARREL CONCEPT",1991
STUDIES TO REDUCE MATERIAL EROSION IN ELECTROTHERMAL LAUNCHERS,1991
PERFORMANCE CRITERIA FOR EM RAIL LAUNCHERS WITH SOLID OR TRANSITION ARMATURES AND LAMINATED RAILS,1991
STIFF RAILGUNS,1991
IMPACT PERFORMANCE OF LARGE-SCALE ELECTROMAGNETIC LAUNCHERS,1991
"EMGWS, D1 PROJECTILE TESTS",1991
REINFORCED ALUMINUM CONDUCTOR FOR CRYOGENIC APPLICATIONS,1991
PRINCIPLES OF APPLICATION OF HIGH-TEMPERATURE SUPERCONDUCTORS TO ELECTROMAGNETIC LAUNCH TECHNOLOGY,1991
MASS STABILIZED PROJECTILE DESIGNS FOR ELECTROMAGNETIC LAUNCH,1991
DESIGN LIMITATIONS FOR SMALL CALIBER ELECTROMAGNETIC SABOTED ROD PROJECTILES,1991
THE EMET RAILGUN PROJECTILE,1991
ESTIMATING THE EROSION AND DEGRADATION PERFORMANCE OF CERAMIC AND POLYMERIC INSULATOR MATERIALS IN HIGH-CURRENT ARC ENVIRONMENTS,1991
DEVELOPMENT OF ADVANCED CERAMIC MATRIX COMPOSITE INSULATORS FOR ELECTROMAGNETIC RAILGUNS,1991
THE IMPACT OF ACCELERATION ON BARREL LAUNCH PACKAGE DESIGN,1991
DYNAMIC STRENGTH OF ARMATURE MATERIALS UNDER PULSED CURRENT CONDITIONS,1991
INDUCTION GENERATOR POWERED COAXIAL LAUNCHERS,1991
TEST-RESULTS FOR 3 PROTOTYPE MODELS OF A LINEAR INDUCTION LAUNCHER,1991
EXPLORATORY DEVELOPMENT OF THE RECONNECTION LAUNCHER 1986-1990,1991
INDUCTIVELY COMMUTATED COILGUNS,1991
